seq,group,folder,ordinal,member,neutral_file,path,top,ok_broad,review,instrument_steal,status,final_source,shape,raw_consensus,raw_family,seconds,error,verification_note,third_party_enabled_rerun
41,4,one_shot_percussive_sounds/4,76,one_shot_percussive_sounds/4/203847.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00076.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_weak_review_measured_drums_release,,impact_with_tail,,,0.58,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
42,4,one_shot_percussive_sounds/4,77,one_shot_percussive_sounds/4/203850.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00077.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.49,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
43,4,one_shot_percussive_sounds/4,78,one_shot_percussive_sounds/4/203851.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00078.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.25,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
44,4,one_shot_percussive_sounds/4,79,one_shot_percussive_sounds/4/203859.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00079.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.28,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,yes
45,4,one_shot_percussive_sounds/4,80,one_shot_percussive_sounds/4/203862.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00080.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.31,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
46,5,one_shot_percussive_sounds/5,76,one_shot_percussive_sounds/5/434386.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00076.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,profile_candidate_kick_claim,,single_hit,,,1.3,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
47,5,one_shot_percussive_sounds/5,77,one_shot_percussive_sounds/5/434387.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00077.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,1.49,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
48,5,one_shot_percussive_sounds/5,78,one_shot_percussive_sounds/5/434388.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00078.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,echo_tail_hit,,,1.32,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
49,5,one_shot_percussive_sounds/5,79,one_shot_percussive_sounds/5/434389.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00079.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,profile_candidate_kick_claim,,hit_with_tail,,,1.38,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
50,5,one_shot_percussive_sounds/5,80,one_shot_percussive_sounds/5/434390.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00080.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,bass_phrase,,,0.61,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
51,1,one_shot_percussive_sounds/1,81,one_shot_percussive_sounds/1/13920.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00081.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.29,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
52,1,one_shot_percussive_sounds/1,82,one_shot_percussive_sounds/1/13924.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00082.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.41,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
53,1,one_shot_percussive_sounds/1,83,one_shot_percussive_sounds/1/13932.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00083.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.3,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
54,1,one_shot_percussive_sounds/1,84,one_shot_percussive_sounds/1/13959.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00084.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,1.25,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
55,1,one_shot_percussive_sounds/1,85,one_shot_percussive_sounds/1/13962.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00085.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.23,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
56,2,one_shot_percussive_sounds/2,81,one_shot_percussive_sounds/2/103024.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00081.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,1.47,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
57,2,one_shot_percussive_sounds/2,82,one_shot_percussive_sounds/2/103362.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00082.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,solo_phrase,,,1.4,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
58,2,one_shot_percussive_sounds/2,83,one_shot_percussive_sounds/2/103365.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00083.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.26,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
59,2,one_shot_percussive_sounds/2,84,one_shot_percussive_sounds/2/103609.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00084.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.34,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
60,2,one_shot_percussive_sounds/2,85,one_shot_percussive_sounds/2/103610.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00085.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.35,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
61,3,one_shot_percussive_sounds/3,81,one_shot_percussive_sounds/3/143520.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00081.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.4,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
62,3,one_shot_percussive_sounds/3,82,one_shot_percussive_sounds/3/143521.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00082.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.43,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
63,3,one_shot_percussive_sounds/3,83,one_shot_percussive_sounds/3/143522.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00083.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.31,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
64,3,one_shot_percussive_sounds/3,84,one_shot_percussive_sounds/3/143523.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00084.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.31,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
65,3,one_shot_percussive_sounds/3,85,one_shot_percussive_sounds/3/143524.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00085.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,strong_consensus,,single_hit,,,1.34,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
66,4,one_shot_percussive_sounds/4,81,one_shot_percussive_sounds/4/203871.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00081.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,hit_with_tail,,,1.33,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
67,4,one_shot_percussive_sounds/4,82,one_shot_percussive_sounds/4/203877.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00082.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,solo_phrase,,,0.65,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
68,4,one_shot_percussive_sounds/4,83,one_shot_percussive_sounds/4/203880.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00083.wav,Drums/Cymbals/Crash Cymbal/One Shots,Drums,True,False,False,final_weak_review_measured_drums_release,,impact_with_tail,,,1.35,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
69,4,one_shot_percussive_sounds/4,84,one_shot_percussive_sounds/4/203887.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00084.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,0.52,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
70,4,one_shot_percussive_sounds/4,85,one_shot_percussive_sounds/4/203893.wav,/mnt/data/perc_v31169_run3/neutral_extract/g04/neutral_g04_00085.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,echo_tail_hit,,,1.25,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
71,5,one_shot_percussive_sounds/5,81,one_shot_percussive_sounds/5/434511.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00081.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,baby_recall_kick_claim,,hit_with_tail,,,1.36,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
72,5,one_shot_percussive_sounds/5,82,one_shot_percussive_sounds/5/434512.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00082.wav,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.51,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
73,5,one_shot_percussive_sounds/5,83,one_shot_percussive_sounds/5/434513.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00083.wav,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.31,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
74,5,one_shot_percussive_sounds/5,84,one_shot_percussive_sounds/5/434514.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00084.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,solo_phrase,,,1.28,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
75,5,one_shot_percussive_sounds/5,85,one_shot_percussive_sounds/5/434515.wav,/mnt/data/perc_v31169_run3/neutral_extract/g05/neutral_g05_00085.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,profile_candidate_kick_claim,,hit_with_tail,,,1.35,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
76,1,one_shot_percussive_sounds/1,86,one_shot_percussive_sounds/1/13963.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00086.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.39,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
77,1,one_shot_percussive_sounds/1,87,one_shot_percussive_sounds/1/13964.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00087.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.4,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
78,1,one_shot_percussive_sounds/1,88,one_shot_percussive_sounds/1/13968.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00088.wav,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,hit_with_tail,,,1.29,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
79,1,one_shot_percussive_sounds/1,89,one_shot_percussive_sounds/1/13969.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00089.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,1.33,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
80,1,one_shot_percussive_sounds/1,90,one_shot_percussive_sounds/1/13973.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00090.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,1.31,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
81,2,one_shot_percussive_sounds/2,86,one_shot_percussive_sounds/2/103611.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00086.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.35,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
82,2,one_shot_percussive_sounds/2,87,one_shot_percussive_sounds/2/103612.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00087.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,1.4,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
83,2,one_shot_percussive_sounds/2,88,one_shot_percussive_sounds/2/103613.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00088.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,texture_bed,,,0.56,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
84,2,one_shot_percussive_sounds/2,89,one_shot_percussive_sounds/2/103614.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00089.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,1.41,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
85,2,one_shot_percussive_sounds/2,90,one_shot_percussive_sounds/2/103618.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00090.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,bass_phrase,,,0.63,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
86,3,one_shot_percussive_sounds/3,86,one_shot_percussive_sounds/3/143525.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00086.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.3,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
